"FID";"road_name";"distance";"prev_bus_stop_x";"prev_bus_stop_y";"bus_stop_x";"bus_stop_y";"prev_bus_stop_id";"prev_bus_stop";"bus_stop_id";"bus_stop";"coordinates"
127;"大学城专线1";"689.36724";"49614.7499";"19479.0643";"48941.4645";"19533.3733";"B09";"广美生活区站";"A02";"广大公寓站";"49614.74989999831,19479.064300000668,49605.99159999937,19493.484700001776,49582.58740000054,19490.87579999864,49521.72500000149,19487.82429999858,49399.35610000044,19499.74920000136,49334.94179999828,19509.021899998188,49308.29890000075,19512.7276000008,49296.29800000042,19513.319800000638,49198.52019999921,19522.797200001776,49125.92069999874,19529.19539999962,49026.38109999895,19540.564599998295,48956.41869999841,19546.023299999535,48941.46449999884,19533.373300001025"
128;"大学城专线1";"431.95042";"48475.6783";"19701.1931";"48549.9914";"20090.6648";"A03";"广大生活区站";"C01";"大学城(广大)总站";"48475.67830000073,19701.193100001663,48482.63060000166,19721.564300000668,48479.09180000052,19729.77670000121,48467.275400001556,19764.215900000185,48461.89970000088,19797.726300001144,48459.75840000063,19826.504000000656,48461.07669999823,19871.74219999835,48467.719099998474,19899.28339999914,48472.35319999978,19914.482500001788,48485.517000000924,19946.579999998212,48497.154399998486,19968.213500000536,48507.4039000012,19984.44299999997,48517.8172999993,19998.142900001258,48522.636500000954,20004.232099998742,48537.88439999893,20018.960700001568,48545.51130000129,20025.565600000322,48550.33399999887,20030.55930000171,48564.73290000111,20042.837900001556,48567.83339999989,20049.175099998713,48549.99139999971,20090.664799999446"
129;"大学城专线1";"509.736505";"50060.2886";"19687.8404";"49614.7499";"19479.0643";"B30";"中环西路站";"B09";"广美生活区站";"50060.288600001484,19687.84039999917,50041.10080000013,19697.70169999823,50015.379000000656,19687.809200000018,49978.566100001335,19668.70679999888,49904.0821999982,19623.857099998742,49821.12730000168,19574.233399998397,49804.47399999946,19565.637499999255,49750.12539999932,19538.884899999946,49715.367400001734,19517.575300000608,49682.31850000098,19511.137699998915,49620.906399998814,19496.69750000164,49614.74989999831,19479.064300000668"
130;"大学城专线1";"866.221076";"50895.6107";"19718.7392";"50060.2886";"19687.8404";"B29";"广工站";"B30";"中环西路站";"50895.61070000008,19718.73919999972,50890.866099998355,19731.55700000003,50806.89669999853,19724.315600000322,50676.95749999955,19724.194600000978,50564.257599998266,19732.672600001097,50462.085000000894,19744.03299999982,50340.89880000055,19752.166799999774,50215.368599999696,19746.05090000108,50143.71049999818,19732.841099999845,50063.902600001544,19705.685800001025,50060.288600001484,19687.84039999917"
131;"大学城专线1";"729.469611";"51513.08";"20061.2196";"50895.6107";"19718.7392";"B22";"综合商业南区站";"B29";"广工站";"51513.07999999821,20061.219599999487,51501.72569999844,20069.22089999914,51486.26009999961,20055.251400001347,51393.47700000182,19967.319600000978,51306.77439999953,19900.28510000184,51236.10929999873,19851.018599998206,51175.62640000135,19820.765299998224,51130.03909999877,19800.051399998367,51009.596599999815,19758.842099998146,50904.026299998164,19734.447099998593,50895.61070000008,19718.73919999972"
132;"大学城专线1";"382.911616";"51698.2873";"20380.1415";"51513.08";"20061.2196";"B21";"华工站";"B22";"综合商业南区站";"51698.28730000183,20380.14149999991,51683.34479999915,20380.145500000566,51641.512499999255,20283.52479999885,51614.14779999852,20238.514800000936,51607.16959999874,20224.256900001317,51579.80990000069,20177.664999999106,51546.89589999989,20128.841400001198,51530.284299999475,20107.276200000197,51509.00510000065,20080.949400000274,51513.07999999821,20061.219599999487"
133;"大学城专线1";"544.510172";"51813.1569";"20890.3508";"51698.2873";"20380.1415";"B20";"华工生活区站";"B21";"华工站";"51813.15689999983,20890.35080000013,51793.245799999684,20884.83199999854,51760.00549999997,20786.023400001228,51753.12249999866,20742.135499998927,51737.893199998885,20617.89209999889,51727.86540000141,20551.112500000745,51707.94750000164,20465.32030000165,51685.357000000775,20391.53970000148,51698.28730000183,20380.14149999991"
134;"大学城专线1";"675.274628";"51786.9677";"21501.9434";"51813.1569";"20890.3508";"A25";"广中医广药站";"B20";"华工生活区站";"51786.96770000085,21501.94339999929,51784.29340000078,21485.43299999833,51806.18820000067,21472.009899999946,51867.29899999872,21397.978300001472,51894.07070000097,21323.83159999922,51908.37029999867,21245.426800001413,51899.292599998415,21155.975499998778,51890.17980000004,21077.49179999903,51851.43769999966,20990.47329999879,51804.88210000098,20906.80380000174,51813.15689999983,20890.35080000013"
135;"大学城专线1";"782.040346";"51210.9848";"22001.9019";"51786.9677";"21501.9434";"B27";"广外站";"A25";"广中医广药站";"51210.984799999744,22001.90190000087,51205.169300001115,21988.81170000136,51285.8572999984,21893.753499999642,51332.109799999744,21828.949999999255,51472.96790000051,21709.630600001663,51653.65960000083,21580.321800000966,51759.25059999898,21507.28339999914,51786.96770000085,21501.94339999929"
136;"大学城专线1";"520.009731";"50226.9943";"22139.2219";"50689.9801";"22336.0054";"B25";"中大站";"B26";"中环东路站";"50226.99430000037,22139.22190000117,50257.22569999844,22150.13500000164,50278.982400000095,22179.735599998385,50442.55680000037,22277.30409999937,50499.46400000155,22296.89939999953,50586.02659999952,22316.594399999827,50674.20789999887,22318.57820000127,50689.980099998415,22336.005399998277"
137;"大学城专线1";"646.776859";"50689.9801";"22336.0054";"51210.9848";"22001.9019";"B26";"中环东路站";"B27";"广外站";"50689.980099998415,22336.005399998277,50697.61219999939,22321.1875,50735.06320000067,22323.844000000507,50819.414799999446,22303.035900000483,50925.680100001395,22262.898699998856,50975.71900000051,22234.382399998605,51019.52490000054,22202.471500001848,51053.97030000016,22168.84180000052,51084.50959999859,22136.886500000954,51120.527800001204,22099.887299999595,51191.840300001204,22008.17060000077,51210.984799999744,22001.90190000087"
