"x";"y";"endnum";"linenum"
"48733.3432";"21133.6177";"121";"44"
"48995.4939";"20380.2262";"95";"512"
"50471.8723";"21119.2608";"301";"134"
"48417.4083";"20865.2913";"83";"45"
"48733.3432";"21133.6177";"121";"513"
"48476.9672";"21114.8681";"110";"528"
"51726.2187";"20660.8138";"410";"638"
"53005.3755";"21083.2976";"527";"390"
"51867.1285";"21149.1124";"457";"58"
"53022.4525";"21152.2898";"531";"391"
"51919.616";"21165.371";"461";"59"
"51919.616";"21165.371";"461";"639"
"51207.7086";"21039.6036";"395";"75"
"50674.3078";"21167.4088";"337";"135"
"50494.3747";"21133.94";"305";"136"
"50605.2022";"21169.1176";"320";"137"
"50620.8508";"21170.9207";"328";"138"
"51419.7542";"21166.5106";"428";"76"
"51426.8879";"21173.0667";"629";"77"
"51419.7542";"21166.5106";"428";"78"
"52503.98";"21177.4739";"506";"117"
"52992.2491";"21034.162";"524";"60"
"48372.0346";"21159.7735";"592";"529"
"48476.9672";"21114.8681";"110";"392"
"52125.988";"21180.5329";"493";"61"
"52080.6282";"21182.0527";"490";"62"
"52091.6115";"21166.9984";"639";"63"
"52125.988";"21180.5329";"493";"64"
"52240.1508";"20446.8758";"433";"118"
"52503.98";"21177.4739";"506";"65"
"52457.093";"21184.9454";"504";"66"
"48559.1134";"21195.6533";"118";"393"
"48710.9832";"21142.898";"120";"514"
"51928.0713";"21199.7245";"464";"640"
"51295.8705";"20978.4593";"399";"67"
"51867.1285";"21149.1124";"457";"641"
"51881.1404";"21199.9621";"460";"68"
"51928.0713";"21199.7245";"464";"69"
"52091.9697";"21200.1127";"492";"70"
"50438.9241";"20751.8507";"256";"139"
"50886.1776";"21206.0261";"368";"140"
"52111.9549";"21207.2606";"640";"71"
"52091.9697";"21200.1127";"492";"72"
"52119.3163";"21201.883";"494";"73"
"48511.1379";"21178.1102";"114";"394"
"48559.1134";"21195.6533";"118";"515"
"50899.012";"21220.8835";"371";"141"
